year,program_code,bac_type,orientation_score
2025,10101,Lettres,99.8685
2024,10101,Lettres,97.875
2023,10101,Lettres,95.6117
2025,10101,Mathematiques,0.0
2024,10101,Mathematiques,0.0
2023,10101,Mathematiques,0.0
2025,10101,Sciences Experimentales,122.105
2024,10101,Sciences Experimentales,130.9413
2023,10101,Sciences Experimentales,129.1169
2025,10101,Economie et Gestion,92.3517
2024,10101,Economie et Gestion,73.8752
2023,10101,Economie et Gestion,86.7539
2025,10101,Informatique,117.4165
2024,10101,Informatique,98.1888
2023,10101,Informatique,147.9275
2025,10102,Lettres,104.785
2024,10102,Lettres,115.4263
2023,10102,Lettres,112.1467
2025,10102,Mathematiques,136.07
2024,10102,Mathematiques,110.4043
2023,10102,Mathematiques,155.2196
2025,10102,Sciences Experimentales,124.25
2024,10102,Sciences Experimentales,151.817
2023,10102,Sciences Experimentales,142.7327
2025,10102,Economie et Gestion,81.2024
2024,10102,Economie et Gestion,107.5939
2023,10102,Economie et Gestion,91.4209
2025,10102,Sciences Techniques,127.633
2024,10102,Sciences Techniques,122.9663
2023,10102,Sciences Techniques,118.555
2025,10102,Informatique,131.5298
2024,10102,Informatique,115.9397
2023,10102,Informatique,153.6574
2025,10102,Sport,147.625
2024,10102,Sport,143.5245
2023,10102,Sport,116.2662
2025,10103,Lettres,68.2249
2024,10103,Lettres,76.2884
2023,10103,Lettres,71.7734
2025,10103,Mathematiques,0.0
2024,10103,Mathematiques,0.0
2023,10103,Mathematiques,156.6159
2025,10103,Sciences Experimentales,122.0512
2024,10103,Sciences Experimentales,115.1036
2023,10103,Sciences Experimentales,147.3283
2025,10103,Economie et Gestion,82.26
2024,10103,Economie et Gestion,79.237
2023,10103,Economie et Gestion,80.3931
2025,10103,Sciences Techniques,100.7692
2024,10103,Sciences Techniques,102.9515
2023,10103,Sciences Techniques,106.5471
2025,10103,Informatique,120.485
2024,10103,Informatique,110.3652
2023,10103,Informatique,154.8504
2025,10103,Sport,113.6502
2024,10103,Sport,108.5462
2023,10103,Sport,155.34
2025,10120,Lettres,109.8569
2024,10120,Lettres,109.6857
2023,10120,Lettres,109.5627
2025,10120,Mathematiques,107.4029
2024,10120,Mathematiques,121.3701
2023,10120,Mathematiques,128.3947
2025,10120,Sciences Experimentales,98.9185
2024,10120,Sciences Experimentales,117.2453
2023,10120,Sciences Experimentales,121.665
2025,10120,Economie et Gestion,86.0208
2024,10120,Economie et Gestion,83.1356
2023,10120,Economie et Gestion,89.5082
2025,10120,Sciences Techniques,125.6501
2024,10120,Sciences Techniques,121.72
2023,10120,Sciences Techniques,131.5244
2025,10120,Informatique,0.0
2024,10120,Informatique,113.5377
2023,10120,Informatique,105.6625
2025,10121,Lettres,123.985
2024,10121,Lettres,131.195
2023,10121,Lettres,130.475
2025,10121,Mathematiques,159.315
2024,10121,Mathematiques,152.645
2023,10121,Mathematiques,150.845
2025,10121,Sciences Experimentales,127.165
2024,10121,Sciences Experimentales,123.795
2023,10121,Sciences Experimentales,127.5
2025,10121,Economie et Gestion,122.28
2024,10121,Economie et Gestion,142.305
2023,10121,Economie et Gestion,130.81
2025,10121,Sciences Techniques,126.165
2024,10121,Sciences Techniques,138.42
2023,10121,Sciences Techniques,139.025
2025,10121,Informatique,130.54
2024,10121,Informatique,108.49
2023,10121,Informatique,151.995
2025,10121,Sport,187.575
2024,10121,Sport,174.87
2023,10121,Sport,172.835
2025,10122,Lettres,95.3584
2024,10122,Lettres,102.7735
2023,10122,Lettres,98.6599
