fiche_id,نوع الشهادة الجامعية,مدة الدراسة,المجال,التخصصات,صيغة حساب مجموع النقاط,التنفيل الجغرافي 7%,تتطلب اجتياز اختبارات مسبقة,لها شروط خاصة,آفاق جامعية,آفاق مهنية
1,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
2,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
3,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
4,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
5,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
6,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
7,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
8,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
9,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
10,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
11,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
12,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
13,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
14,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
15,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
16,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
17,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
18,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
19,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
20,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
21,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
22,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
23,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
24,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
25,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
26,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
27,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
28,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
29,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
30,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
31,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
32,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
33,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
34,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
35,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
36,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
37,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
38,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
39,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
40,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
