program_code_3digit,formula,bac_type
101,FG+A,Informatique
101,FG+A,Lettres
101,FG+A,Mathematiques
101,FG+A,Sciences Experimentales
101,FG+A,Economie et Gestion
102,FG+Ang,Informatique
102,FG+Ang,Lettres
102,FG+Ang,Mathematiques
102,FG+Ang,Sciences Experimentales
102,FG+Ang,Sciences Techniques
102,FG+Ang,Sport
102,FG+Ang,Economie et Gestion
103,FG+F,Informatique
103,FG+F,Lettres
103,FG+F,Mathematiques
103,FG+F,Sciences Experimentales
103,FG+F,Sciences Techniques
103,FG+F,Sport
103,FG+F,Economie et Gestion
104,FG+ESP,Informatique
104,FG+ESP,Lettres
104,FG+ESP,Mathematiques
104,FG+ESP,Sciences Experimentales
104,FG+ESP,Sciences Techniques
104,FG+ESP,Sport
104,FG+ESP,Economie et Gestion
105,FG+IT,Informatique
105,FG+IT,Lettres
105,FG+IT,Mathematiques
105,FG+IT,Sciences Experimentales
105,FG+IT,Sciences Techniques
105,FG+IT,Sport
105,FG+IT,Economie et Gestion
106,FG+ALL,Informatique
106,FG+ALL,Lettres
106,FG+ALL,Mathematiques
106,FG+ALL,Sciences Experimentales
106,FG+ALL,Sciences Techniques
106,FG+ALL,Sport
106,FG+ALL,Economie et Gestion
107,FG+(A+Ang+F)/3,Informatique
107,FG+(A+Ang+F)/3,Lettres
107,FG+(A+Ang+F)/3,Mathematiques
107,FG+(A+Ang+F)/3,Sciences Experimentales
107,FG+(A+Ang+F)/3,Sciences Techniques
107,FG+(A+Ang+F)/3,Sport
107,FG+(A+Ang+F)/3,Economie et Gestion
108,FG+(A+Ang+F)/3,Informatique
108,FG+(A+Ang+F)/3,Lettres
108,FG+(A+Ang+F)/3,Mathematiques
108,FG+(A+Ang+F)/3,Sciences Experimentales
108,FG+(A+Ang+F)/3,Sciences Techniques
108,FG+(A+Ang+F)/3,Sport
108,FG+(A+Ang+F)/3,Economie et Gestion
118,FG+PH,Informatique
118,FG+(HG+PH)/2,Lettres
118,FG+PH,Mathematiques
118,FG+PH,Sciences Experimentales
118,FG+PH,Sciences Techniques
118,FG+PH,Sport
118,FG+(HG+PH)/2,Economie et Gestion
119,FG+(A+F)/2,Informatique
119,FG+(A+F)/2,Lettres
119,FG+(A+F)/2,Mathematiques
119,FG+(A+F)/2,Sciences Experimentales
