program_code,program_name,university,institution,domain
10101,الإجازة في العربية,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10102,الإجازة في الإنقليزية,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10103,الإجازة في الفرنسية,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10104,الإجازة في الإسبانية,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الآداب واللغات والمراحل التحضيرية الأدبية
10105,الإجازة في الإيطالية,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الآداب واللغات والمراحل التحضيرية الأدبية
10106,الإجازة في الألمانية,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,الآداب واللغات والمراحل التحضيرية الأدبية
10107,الإجازة في الروسية,جامعة قرطاج,المعهد العالي للغات بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10108,الإجازة في الصينية,جامعة قرطاج,المعهد العالي للغات بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10118,الإجازة في الأنتروبولوجيا,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10119,الإجازة في لغة الإشارات,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10120,الإجازة في عـلــم الاجتماع,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10121,الإجازة في علم النـفـــس,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10122,الإجازة في الفـلســفــة,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10123,الإجازة في التاريخ,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10124,الإجازة في الجغرافيا,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10138,الإجازة في العلوم الإسلامية,جامعة الزيتونة,المعهد العالي للحضارة الإسلامية بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10139,الإجازة في العلوم الشرعية,جامعة الزيتونة,المعهد العالي لأصول الدين بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10158,الإجازة في الجيوماتيك والبيئة والتهيئة,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,العلوم الإنسانية والإجتماعية والدينية والتربية
10160,الاجازة في الجيوبوليتيك و العلاقات الدولية,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,العلوم الإنسانية والإجتماعية والدينية والتربية
10162,الإجازة في المحافظة على الممتلكات الثقافية و ترميمها,جامعة تونس,المعهد العالى لمهن التراث بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10164,الاجازة في الجيوماتيك والتهيئة,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10167,الإجازة في الآثار,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10168,الاجازة في علوم الجيوماتيك والتطبيقات,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
10190,المرحلة التحضيرية للغات والآداب:عربية,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10191,المرحلة التحضيرية للغات والآداب:فرنسية,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10192,المرحلة التحضيرية للغات والآداب:انقليزية,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10193,المرحلة التحضيرية للعلوم الإنسانية:تاريخ,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10194,المرحلة التحضيرية للعلوم الإنسانية:جغرافيا,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10195,المرحلة التحضيرية للعلوم الإنسانية:فلسفة,جامعة تونس,المعهد التحضيري للدراسات الأدبية والعلوم الإنسانية بتونس,الآداب واللغات والمراحل التحضيرية الأدبية
10200,الإجازة في المسرح و فنون العرض,جامعة تونس,المعهدالعالي للفن المسرحي بتونس,الثقافة والفنون الجميلة والفنون والحرف
10201,الإجازة في الموسيقى و العلوم الموسيقية,جامعة تونس,المعهد العالي للموسيقى بتونس,الثقافة والفنون الجميلة والفنون والحرف
10202,الإجازة في الفنون التشكيلية,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,الثقافة والفنون الجميلة والفنون والحرف
10203,الهندسة المعمارية,جامعة قرطاج,المدرسة الوطنية للهندسة المعمارية و التعمير بتونس,الهندسة المعمارية والمراحل التحضيرية العلمية
10207,الإجازة في تصميم الفضاء,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,الثقافة والفنون الجميلة والفنون والحرف
10208,الاجازة في تصميم المنتوج,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,الثقافة والفنون الجميلة والفنون والحرف
10209,الاجازة في تصميم الصورة,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,الثقافة والفنون الجميلة والفنون والحرف
10244,الإجازة في التعمير و التهيئة,جامعة قرطاج,المعهد العالي لتكنولوجيات البيئة والعمران والبنيان,الهندسة المعمارية والمراحل التحضيرية العلمية
10260,الإجازة في فنون التراث الإسلامي,جامعة الزيتونة,المعهد العالي لأصول الدين بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10265,الإجازة في السينما والسمعي البصري,جامعة منوبة,المعهد العالي لفنون الملتميديا بمنوبة,الثقافة والفنون الجميلة والفنون والحرف
10301,الإجازة في القانون,جامعة تونس المنار,كلية الحقوق والعلوم السياسية بتونس,العلوم القانونية والعلوم السياسية
10311,الإجازة في إعلامية التـصـرف,جامعة تونس,المعهد العالي للتصرف بتونس,العلوم الصحيحة والتكنولوجيا
10312,الاجازة في العلوم الاقتصادية,جامعة تونس,المعهد العالي للتصرف بتونس,العلوم الإقتصادية وعلوم التصرف
10318,الإجازة في علوم التصرف,جامعة تونس,المعهد العالي للتصرف بتونس,العلوم الإقتصادية وعلوم التصرف
10346,الإجازة في القانون الاجتماعي,جامعة قرطاج,المعهد الوطني للشغل والدراسات الإجتماعية بتونس,العلوم القانونية والعلوم السياسية
10347,الاجازة في علوم الشغل,جامعة قرطاج,المعهد الوطني للشغل والدراسات الإجتماعية بتونس,العلوم الإقتصادية وعلوم التصرف
10355,الإجازة في الخدمة الاجتماعية,جامعة قرطاج,المعهد الوطني للشغل والدراسات الإجتماعية بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10360,الإجازة في التصرف في تكنولوجيات المعلومات والاتصال,الإدارة العامة للدراسات التكنولوجية,المعهد العالي للدراسات التكنولوجية في المواصلات بتونس,العلوم الصحيحة والتكنولوجيا
10362,الإجازة في التصرف الإلكتروني في المعلومات و الوثائق,جامعة منوبة,المعهد العالي للتوثيق بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10363,الإجازة في التوثيق وعلوم المكتبات والأرشيف,جامعة منوبة,المعهد العالي للتوثيق بتونس,العلوم الإنسانية والإجتماعية والدينية والتربية
10377,البكالوريوس في إدارة الأعمال,جامعة تونس,المعهد العالي للأعمال بتونس,العلوم الإقتصادية وعلوم التصرف
10391,الإجازة في إدارة الأعمال,الإدارة العامة للدراسات التكنولوجية,المعهد العالي للدراسات التكنولوجية برادس,العلوم الإقتصادية وعلوم التصرف
10394,الاجازة في المحاسبة و المالية,الإدارة العامة للدراسات التكنولوجية,المعهد العالي للدراسات التكنولوجية برادس,العلوم الإقتصادية وعلوم التصرف
10396,الاجازة في التجارة والتوزيع,الإدارة العامة للدراسات التكنولوجية,المعهد العالي للدراسات التكنولوجية برادس,العلوم الإقتصادية وعلوم التصرف
10443,الإجازة في الوساطة والتنشيط,جامعة تونس,المعهد العالي للتنشيط الشبابي والثقافي ببئر الباي,السياحة والتنشيط والرياضة والتربية البدنية
10450,الإجازة في علوم وتقنيات الأنشطة البدنية والرياضة,جامعة منوبة,المعهد العالي للرياضة و التربية البدنية بقصر السعيد,السياحة والتنشيط والرياضة والتربية البدنية
10452,الاجازة في السياحة,جامعة قرطاج,المعهد العالي للدراسات السياحية والفندقية بسيدي الظريف,السياحة والتنشيط والرياضة والتربية البدنية
10453,الإجازة في الفندقة,جامعة قرطاج,المعهد العالي للدراسات السياحية والفندقية بسيدي الظريف,السياحة والتنشيط والرياضة والتربية البدنية
10470,الإجازة في علوم التربية,جامعة قرطاج,المعهد العالي لإطارات الطفولة بقرطاج درمش,العلوم الإنسانية والإجتماعية والدينية والتربية
10473,الإجازة في التربية المختصة,جامعة منوبة,المعهد العالي للتربية المختصة,العلوم الإنسانية والإجتماعية والدينية والتربية
10501,الإجازة في الكيمياء,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
10502,الإجازة في الفيزياء و الكيمياء,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
10503,الإجازة في الفيزياء,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
10504,الإجازة في الفيزياء و الطاقة,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
10505,الاجازة في الرياضيات التطبيقية,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
10507,الإجازة في الرياضيات,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
10509,الإجازة في علوم الأحياء,جامعة منوبة,المعهد العالي للبيوتكنولوجيا بسيدي ثابت,العلوم الصحيحة والتكنولوجيا
10510,الإجازة في علوم الأرض,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
10512,الإجازة في علوم الأحياء و المحيط,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
10513,الإجازة في علوم الحياة و الأرض,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
10514,الإجازة في الكيمياء - علم الأحياء,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
10516,مرحلة تحضيرية مندمجة في الهندسة البيوطبية,جامعة تونس المنار,المعهد العالي للتكنولوجيات الطبية بتونس,الهندسة المعمارية والمراحل التحضيرية العلمية
10517,مرحلة تحضيرية مندمجة في هندسة بيوتكنولوجيات الصحة,جامعة تونس المنار,المعهد العالي للتكنولوجيات الطبية بتونس,الهندسة المعمارية والمراحل التحضيرية العلمية
10518,مرحلة تحضيرية مندمجة,جامعة تونس المنار,كلية العلوم بتونس,الهندسة المعمارية والمراحل التحضيرية العلمية
10520,مرحلة تحضيرية مندمجة: رياضيات- فيزياء و إعلامـيـة,جامعة قرطاج,المعهد الوطني للعلوم التطبيقية والتكنولوجيا بتونس,الهندسة المعمارية والمراحل التحضيرية العلمية
10521,مرحلة تحضيرية مندمجة: كـيـمـيـاء - بـيـولوجيا تطبيقية,جامعة قرطاج,المعهد الوطني للعلوم التطبيقية والتكنولوجيا بتونس,الهندسة المعمارية والمراحل التحضيرية العلمية
10522,مرحلة تحضيرية علمية,جامعة تونس,المعهد التحضيري للدراسات الهندسية بتونس,الهندسة المعمارية والمراحل التحضيرية العلمية
10523,الإجازة في علوم الإعلامية,جامعة منوبة,المعهد العالي لفنون الملتميديا بمنوبة,العلوم الصحيحة والتكنولوجيا
10524,الإجازة في هندسة نظم الإعلامية,جامعة تونس المنار,كلية العلوم بتونس,العلوم الصحيحة والتكنولوجيا
